Latitude (decimal degrees):	25.033
Longitude (decimal degrees):	121.565
Elevation (m):	15
Radiation database:	PVGIS-ERA5


Slope: 30 deg. 
Azimuth: -179 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0030,49.63,75.41,20.52,14.44,3.45,0.0
20200101:0130,118.09,158.58,30.17,15.02,4.07,0.0
20200101:0230,140.41,186.61,37.52,15.56,4.07,0.0
20200101:0330,187.47,250.06,41.51,15.85,4.28,0.0
20200101:0430,156.05,203.45,41.3,16.44,4.41,0.0
20200101:0530,110.85,150.59,36.95,16.1,4.28,0.0
20200101:0630,77.36,110.62,29.33,15.91,4.28,0.0
20200101:0730,48.39,74.17,19.51,15.77,4.14,0.0
20200101:0830,14.19,29.87,8.29,15.64,3.93,0.0
20200101:0930,0.0,0.0,-3.83,15.52,3.79,0.0
20200101:1030,0.0,0.0,0.0,15.34,3.45,0.0
20200101:1130,0.0,0.0,0.0,15.29,3.45,0.0
20200101:1230,0.0,0.0,0.0,15.19,3.31,0.0
20200101:1330,0.0,0.0,0.0,15.22,3.31,0.0
20200101:1430,0.0,0.0,0.0,14.95,3.17,0.0
20200101:1530,0.0,0.0,0.0,14.78,3.03,0.0
20200101:1630,0.0,0.0,0.0,14.59,2.97,0.0
20200101:1730,0.0,0.0,0.0,14.46,2.97,0.0
20200101:1830,0.0,0.0,0.0,14.55,2.9,0.0
20200101:1930,0.0,0.0,0.0,14.79,2.83,0.0
20200101:2030,0.0,0.0,0.0,14.63,2.76,0.0
20200101:2130,0.0,0.0,0.0,14.44,2.62,0.0
20200101:2230,0.0,0.0,-2.65,14.37,2.55,0.0
20200101:2330,24.43,43.62,9.4,14.25,2.55,0.0
20200102:0030,39.02,69.47,20.49,15.69,2.48,0.0
20200102:0130,84.24,153.37,30.17,17.3,3.24,0.0
20200102:0230,137.32,220.0,37.55,18.3,3.59,0.0
20200102:0330,171.1,258.69,41.58,19.1,3.59,0.0
20200102:0430,163.86,243.59,41.4,19.8,3.59,0.0
20200102:0530,150.8,226.28,37.07,19.93,3.72,0.0
20200102:0630,67.54,134.14,29.46,19.8,3.52,0.0
20200102:0730,48.06,75.08,19.65,20.02,3.52,0.0
20200102:0830,19.91,38.33,8.42,19.31,3.1,0.0
20200102:0930,0.0,0.0,-3.7,18.28,2.83,0.0
20200102:1030,0.0,0.0,0.0,17.26,2.69,0.0
20200102:1130,0.0,0.0,0.0,16.55,2.69,0.0
20200102:1230,0.0,0.0,0.0,16.0,2.62,0.0
20200102:1330,0.0,0.0,0.0,15.53,2.55,0.0
20200102:1430,0.0,0.0,0.0,15.1,2.55,0.0
20200102:1530,0.0,0.0,0.0,14.88,2.55,0.0
20200102:1630,0.0,0.0,0.0,14.71,2.55,0.0
20200102:1730,0.0,0.0,0.0,14.69,2.62,0.0
20200102:1830,0.0,0.0,0.0,14.46,2.62,0.0
20200102:1930,0.0,0.0,0.0,14.46,2.48,0.0
