rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,43ae8b8ebb83c1e42c356ecdc3957550,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,185.35293182232695,5621.493740591159,8768.353518495163,1535.7818090355217,5621.493740591159,0.0,0.0,7.169868089827431,168644.81221773475,5621.493740591159,11608.368778247466,1.0,0.5,23056.525237202644,0.5,7470.426844450314,3069.106572281122,39598.31302336219,339537432.6490281,4.480889415523409,168644.81221773475,69473.13551602841,11217.84806497206,1044.5599026686527,185.35293182232695,5621.493740591159,8768.353518495163,1535.7818090355217,5621.493740591159,0.0,7.169868089827431,5621.493740591159,11608.368778247466,23056.525237202644,0.5,7470.426844450314,3069.106572281122,39598.31302336219,339537432.6490281,4.480889415523409,168644.81221773475,69473.13551602841,11217.84806497206,1044.5599026686527,1.0,0.5,0.5337,135832.92949539353,85840.77246161453,Wh,85840.77246161453,Wh
1,ed5a4519c8eec6621e664689905d1873,ARIMA,"{""p"": 2, ""d"": 0, ""q"": 7, ""regression_type"": null}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer"", ""4"": ""DifferencedTransformer"", ""5"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}, ""4"": {""lag"": 1, ""fill"": ""bfill""}, ""5"": {}}}",0,1,82.74416906037479,12.093604150714874,16.44981264123497,2.6640007239048242,12.093604150714874,0.0,-0.09966487162738069,2.0915034037745017,362.70845964981885,12.093448837368244,14199.78566268073,1.0,0.5333333333333333,36.45505132330337,0.5333333333333333,15.119344293135603,8.162573996851414,76.95419333165137,1005.4842053518277,0.14614463870765435,362.6087947781915,189.82623828507786,10.837368675575823,2.2459428333394884,82.74416906037479,12.093604150714874,16.44981264123497,2.6640007239048242,12.093604150714874,0.0,2.0915034037745017,12.093448837368244,14199.78566268073,36.45505132330337,0.5333333333333333,15.119344293135603,8.162573996851414,76.95419333165137,1005.4842053518277,0.14614463870765435,362.6087947781915,189.82623828507786,10.837368675575823,2.2459428333394884,1.0,0.5333333333333333,1.4605,91259.58497436477,184.67054666384507,Wh,184.67054666384507,Wh
2,4975ae2a054cc1b48ce6396893a93190,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {}}}",0,1,165.20050777013594,4.622447681364585,4.949121415805355,1.2584686420375406,4.622447681364585,0.0,-138.67343044093755,4.622447681364585,0.0,1.6384624362882745,11611.918932930612,1.0,0.5,6.5200700759887695,0.5,6.172498358351445,4.3055536078657735,20.928700602983326,62.064609082299185,0.052218160975465534,138.67343044093755,120.80120467102398,7.118095371874002,0.8589217960472854,165.20050777013594,4.622447681364585,4.949121415805355,1.2584686420375406,4.622447681364585,0.0,4.622447681364585,1.6384624362882745,11611.918932930612,6.5200700759887695,0.5,6.172498358351445,4.3055536078657735,20.928700602983326,62.064609082299185,0.052218160975465534,138.67343044093755,120.80120467102398,7.118095371874002,0.8589217960472854,1.0,0.5,0.1112,74635.22825516753,70.5852390738423,Wh,70.5852390738423,Wh
3,c82d6bcd7e459f827880fb36bd9192af,ARIMA,"{""p"": 4, ""d"": 1, ""q"": 2, ""regression_type"": ""Holiday""}","{""fillna"": ""mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 2, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,122.12756237860778,15.797270615562317,18.705691571657834,4.6950860732677935,15.797270615562317,0.0,-22.23082073522017,3.0693306482232052,451.6872977316493,15.306648523984908,9248.087657452697,1.0,0.4,31.197178166270163,0.43333333333333335,17.716881183669056,12.992878194805158,61.751797680643115,713.7697164449814,0.5889362820085189,429.45647699642916,441.09245178750825,41.24945026096027,2.6599870456296095,122.12756237860778,15.797270615562317,18.705691571657834,4.6950860732677935,15.797270615562317,0.0,3.0693306482232052,15.306648523984908,9248.087657452697,31.197178166270163,0.43333333333333335,17.716881183669056,12.992878194805158,61.751797680643115,713.7697164449814,0.5889362820085189,429.45647699642916,441.09245178750825,41.24945026096027,2.6599870456296095,1.0,0.4,1.0119,59553.75691083537,241.22590453732874,Wh,241.22590453732874,Wh
4,240828ca7b4712b2942d3daa8a8b25c9,RollingRegression,"{""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": null, ""min_samples_split"": 2}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": 7, ""max_rolling_periods"": null, ""min_rolling_periods"": null, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 23, ""abs_energy"": false, ""rolling_autocorr_periods"": 7, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""pchip"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""Scaler"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 2, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {}, ""5"": {""lag"": 7, ""fill"": ""zero""}}}",0,1,194.81100924269126,5.267045291264852,5.332136463452725,1.3709217814557955,5.267045291264852,0.0,-158.01135873794556,5.267045291264852,0.0,1.8238801609234252,8571.277618040822,1.0,0.5,6.5200700759887695,0.5,6.4044340804079924,5.0790707397460935,21.72457852310763,75.87391026752532,0.1566082265805465,158.01135873794556,156.16316491754975,8.38765754537957,0.9786979352246745,194.81100924269126,5.267045291264852,5.332136463452725,1.3709217814557955,5.267045291264852,0.0,5.267045291264852,1.8238801609234252,8571.277618040822,6.5200700759887695,0.5,6.4044340804079924,5.0790707397460935,21.72457852310763,75.87391026752532,0.1566082265805465,158.01135873794556,156.16316491754975,8.38765754537957,0.9786979352246745,1.0,0.5,2.6618,55156.66969594168,80.42830913922505,Wh,80.42830913922505,Wh
5,da9772e806096e4ba8ecf9c81cd4c45f,ARIMA,"{""p"": 1, ""d"": 1, ""q"": 0, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""Scaler"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""Scaler"", ""5"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {}, ""4"": {}, ""5"": {""lag"": 2, ""fill"": ""zero""}}}",0,1,179.94800553067125,1309.8370998262137,1920.4630436850723,313.4605407786015,1309.8370998262137,0.0,0.0,6.066768733635784,39295.11299478641,1309.8370998262137,2959.0983509497682,1.0,0.5,4705.9490005730695,0.5,1645.0665762040644,794.0285300084629,8838.482033250319,15114457.148175506,2.7711449211504853,39295.11299478641,18019.202315725866,2601.9394218827865,243.38785679451442,179.94800553067125,1309.8370998262137,1920.4630436850723,313.4605407786015,1309.8370998262137,0.0,6.066768733635784,1309.8370998262137,2959.0983509497682,4705.9490005730695,0.5,1645.0665762040644,794.0285300084629,8838.482033250319,15114457.148175506,2.7711449211504853,39295.11299478641,18019.202315725866,2601.9394218827865,243.38785679451442,1.0,0.5,0.029,32928.86818935603,20001.343706226224,Wh,20001.343706226224,Wh
6,e7fc721ce0c7b7091a96821a0ddf03d4,ARIMA,"{""p"": 2, ""d"": 3, ""q"": 1, ""regression_type"": ""Holiday""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,174.3691250785335,789.4078105615207,1161.1156678360833,190.9785312334743,789.4078105615207,0.0,0.0,5.575770232718188,23682.23431684562,789.4078105615207,1201.2829993371608,1.0,0.5,2867.139914825393,0.5,994.4617573640016,475.441595826603,5338.624278488194,5568766.367552525,2.337684902090068,23682.23431684562,10815.784890832263,1561.9746043928299,146.6840992478456,174.3691250785335,789.4078105615207,1161.1156678360833,190.9785312334743,789.4078105615207,0.0,5.575770232718188,789.4078105615207,1201.2829993371608,2867.139914825393,0.5,994.4617573640016,475.441595826603,5338.624278488194,5568766.367552525,2.337684902090068,23682.23431684562,10815.784890832263,1561.9746043928299,146.6840992478456,1.0,0.5,0.4814,16169.611213887601,12054.336333514582,Wh,12054.336333514582,Wh
7,131b7e5547120d0893a83ff9642749f7,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,168.89299821992822,380.56638567944367,532.4627804952717,81.42400156512758,380.56638567944367,0.0,0.0,5.034662185678002,11416.99157038331,380.56638567944367,794.9885438366391,1.0,0.5,1222.409678220749,0.5,458.72377757434276,248.30129697799683,2478.399755420215,1089099.8208300264,1.4314905211531503,11416.99157038331,5666.532270213453,744.9938798633656,70.71508128059871,168.89299821992822,380.56638567944367,532.4627804952717,81.42400156512758,380.56638567944367,0.0,5.034662185678002,380.56638567944367,794.9885438366391,1222.409678220749,0.5,458.72377757434276,248.30129697799683,2478.399755420215,1089099.8208300264,1.4314905211531503,11416.99157038331,5666.532270213453,744.9938798633656,70.71508128059871,1.0,0.5,0.5377,9138.36172979926,5811.286826446376,Wh,5811.286826446376,Wh
8,3fbbb51d63a433f7479aad9ad8931e6d,ARIMA,"{""p"": 1, ""d"": 0, ""q"": 1, ""regression_type"": null}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}}}",0,1,92.3752971880555,12.87641499723219,16.071049403938762,2.2550402374062304,12.87641499723219,0.0,0.0,2.304311382719836,386.2924499169657,12.87641499723219,1388.8266435907487,1.0,0.5,31.847107789309504,0.5,14.96418931001372,9.686343203914575,75.90483971486833,870.8170302345617,0.06328698903350947,386.2924499169657,235.50174745498944,10.482016397410886,2.3926357329387704,92.3752971880555,12.87641499723219,16.071049403938762,2.2550402374062304,12.87641499723219,0.0,2.304311382719836,12.87641499723219,1388.8266435907487,31.847107789309504,0.5,14.96418931001372,9.686343203914575,75.90483971486833,870.8170302345617,0.06328698903350947,386.2924499169657,235.50174745498944,10.482016397410886,2.3926357329387704,1.0,0.5,0.1024,9096.334013612497,196.6241466956598,Wh,196.6241466956598,Wh
9,4fdffb371cf19b09a05bb5460e2d8c98,ARIMA,"{""p"": 2, ""d"": 1, ""q"": 1, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,96.89251827667331,3.8539983915732186,4.304719145575476,1.6106681416514328,3.8539983915732186,0.0,-62.1590420765402,2.815479615858943,53.46090967065635,2.504100723116698,1361.6596286754043,1.0,0.5333333333333333,6.5200700759887695,0.4666666666666667,5.529703267738462,3.401974068575606,18.210783509999587,49.955597291616584,0.19266884334070947,8.698132405883854,50.35979575814171,2.426729249829655,0.05387488781782778,96.89251827667331,3.8539983915732186,4.304719145575476,1.6106681416514328,3.8539983915732186,0.0,2.815479615858943,2.504100723116698,1361.6596286754043,6.5200700759887695,0.4666666666666667,5.529703267738462,3.401974068575606,18.210783509999587,49.955597291616584,0.19266884334070947,8.698132405883854,50.35979575814171,2.426729249829655,0.05387488781782778,1.0,0.5333333333333333,0.1293,8834.869315965578,58.85094145167095,Wh,58.85094145167095,Wh
